,Country,City,Overall_AQI_Value,Overall_AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category,Latitude,Longitude,Continent
11019,India,Chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.9177,79.5887,Asia
11020,United States,Claremore,56,Moderate,1,Good,46,Good,3,Good,56,Moderate,36.3146,-95.6095,North America
11021,Portugal,Abrantes,34,Good,1,Good,34,Good,1,Good,16,Good,39.4633,-8.1975,Europe
11022,Benin,Allada,79,Moderate,2,Good,18,Good,2,Good,79,Moderate,6.65,2.15,Africa
11023,United States,Allouez,30,Good,1,Good,30,Good,3,Good,28,Good,44.4721,-88.0259,North America
11024,Burma (Myanmar),Myanaung,42,Good,0,Good,23,Good,0,Good,42,Good,18.2833,95.3167,Asia
11025,United States,Nashua,68,Moderate,2,Good,14,Good,14,Good,68,Moderate,42.7491,-71.491,North America
11026,United States,Newton,41,Good,1,Good,37,Good,2,Good,41,Good,42.3316,-71.2085,North America
11027,United States,Norman,78,Moderate,1,Good,28,Good,2,Good,78,Moderate,35.2335,-97.3471,North America
11028,Cameroon,Obala,86,Moderate,2,Good,24,Good,0,Good,86,Moderate,4.1667,11.5333,Africa
11029,Uzbekistan,Ohangaron,109,Unhealthy for Sensitive Groups,1,Good,64,Moderate,1,Good,109,Unhealthy for Sensitive Groups,40.9061,69.6444,Asia
11030,Croatia,Makarska,58,Moderate,1,Good,35,Good,1,Good,58,Moderate,43.3,17.0333,Europe
11031,United States,Manassas,47,Good,1,Good,39,Good,6,Good,47,Good,38.7479,-77.4838,North America
11032,Germany,Marl,36,Good,1,Good,33,Good,2,Good,36,Good,51.6667,7.1167,Europe
11033,India,Medak,101,Unhealthy for Sensitive Groups,1,Good,27,Good,0,Good,101,Unhealthy for Sensitive Groups,18.046,78.263,Asia
11034,United States,Medford,68,Moderate,3,Good,21,Good,23,Good,68,Moderate,42.3372,-122.854,North America
11035,United States,Melrose Park,52,Moderate,2,Good,31,Good,10,Good,52,Moderate,41.903,-87.8636,North America
11036,United States,Mililani Town,31,Good,0,Good,31,Good,0,Good,30,Good,21.4465,-158.0147,North America
11037,United States,Millville,77,Moderate,1,Good,54,Moderate,2,Good,77,Moderate,39.3903,-75.0561,North America
11038,Burma (Myanmar),Minbu,25,Good,0,Good,25,Good,0,Good,19,Good,20.18,94.87,Asia
11039,Dominican Republic,Monte Cristi,63,Moderate,1,Good,18,Good,5,Good,63,Moderate,19.8667,-71.65,North America
11040,United States,Morgan City,51,Moderate,0,Good,26,Good,1,Good,51,Moderate,29.7041,-91.192,North America
11041,Israel,Qiryat Bialik,82,Moderate,2,Good,46,Good,6,Good,82,Moderate,32.8333,35.0833,Asia
11042,Brazil,Quixeramobim,23,Good,0,Good,11,Good,1,Good,23,Good,-5.1989,-39.2928,South America
11043,Macedonia,Lipkovo,86,Moderate,1,Good,47,Good,0,Good,86,Moderate,42.1553,21.5875,Europe
11044,United States,Little Ferry,74,Moderate,2,Good,18,Good,19,Good,74,Moderate,40.8464,-74.0388,North America
11045,Brazil,Luz,40,Good,1,Good,6,Good,2,Good,40,Good,-19.8008,-45.6858,South America
11046,Belgium,Machelen,58,Moderate,1,Good,30,Good,6,Good,58,Moderate,50.9103,4.4367,Europe
11047,Burma (Myanmar),Mae Sai,34,Good,1,Good,23,Good,0,Good,34,Good,20.4333,99.8833,Asia
11048,Russia,Magdagachi,52,Moderate,1,Good,26,Good,0,Good,52,Moderate,53.45,125.8,Asia
11049,Turkey,Manisa,86,Moderate,1,Good,48,Good,1,Good,86,Moderate,38.6306,27.4222,Europe
11050,United States,Rosedale,42,Good,1,Good,30,Good,9,Good,42,Good,39.3266,-76.5084,North America
11051,United States,Rutherford,71,Moderate,2,Good,19,Good,18,Good,71,Moderate,40.8203,-74.1057,North America
11052,Mexico,Ramos Arizpe,81,Moderate,2,Good,12,Good,5,Good,81,Moderate,25.55,-100.9667,North America
11053,Italy,Ravenna,70,Moderate,1,Good,49,Good,1,Good,70,Moderate,44.4161,12.2017,Europe
11054,France,Rennes,51,Moderate,1,Good,27,Good,3,Good,51,Moderate,48.1147,-1.6794,Europe
11055,Switzerland,Richterswil,53,Moderate,1,Good,30,Good,1,Good,53,Moderate,47.2167,8.7,Europe
11056,Brazil,Rio Claro,151,Unhealthy,4,Good,4,Good,10,Good,151,Unhealthy,-22.4108,-47.5608,South America
11057,United States,Rogers,49,Good,2,Good,33,Good,4,Good,49,Good,36.317,-94.1531,North America
11058,Belgium,Sprimont,63,Moderate,1,Good,35,Good,4,Good,63,Moderate,50.5,5.6667,Europe
11059,Bulgaria,Stara Zagora,54,Moderate,1,Good,44,Good,0,Good,54,Moderate,42.4333,25.65,Europe
11060,Russia,Stavropol,36,Good,1,Good,28,Good,1,Good,36,Good,45.05,41.9833,Asia
11061,United States,Lake Mary,59,Moderate,1,Good,14,Good,14,Good,59,Moderate,28.7592,-81.336,North America
11062,United States,Lakeland,67,Moderate,2,Good,1,Good,23,Good,67,Moderate,28.0557,-81.9545,North America
11063,South Africa,Lebowakgomo,168,Unhealthy,6,Good,24,Good,6,Good,168,Unhealthy,-24.2,29.5,Africa
